"ID";"Station";"Line";"AdmArea";"District";"MCDStation";"AeroexpressStation";"RailwayStation";"RailwayTerminal";"ObjectStatus";"global_id";
"Код";"Наименование станции";"Наименование линии";"Административный округ";"Район";"Станция МЦД";"Станция Аэроэкспресс";"Станция радиального железнодорожного направления";"Выход к железнодорожному вокзалу";"Статус объекта";"global_id";
"136";"Третьяковская";"Калининская линия";"Центральный административный округ";"район Замоскворечье";"[]";"[]";"[]";"[]";"действует";"58701962";
"86";"Медведково";"Калужско-Рижская линия";"Северо-Восточный административный округ";"район Северное Медведково";"[]";"[]";"[]";"[]";"действует";"58701963";
"41";"Первомайская";"Арбатско-Покровская линия";"Восточный административный округ";"район Измайлово";"[]";"[]";"[]";"[]";"действует";"58701964";
"104";"Калужская";"Калужско-Рижская линия";"Юго-Западный административный округ";"Обручевский район";"[]";"[]";"[]";"[]";"действует";"58701965";
"251";"Каховская";"Большая кольцевая линия";"Юго-Западный административный округ";"район Зюзино";"[]";"[]";"[]";"[]";"действует";"58701966";
"184";"Бульвар адмирала Ушакова";"Бутовская линия";"Юго-Западный административный округ";"район Южное Бутово";"[]";"[]";"[]";"[]";"действует";"58701967";
"28";"Павелецкая";"Замоскворецкая линия";"Центральный административный округ";"район Замоскворечье";"[]";"{global_id=1508979807, value=Павелецкий вокзал}";"{global_id=1272850186, value=Павелецкий вокзал}";"[{global_id=1058615635, value=Павелецкий}]";"действует";"58701968";
"172";"Волжская";"Люблинско-Дмитровская линия";"Юго-Восточный административный округ";"район Кузьминки";"[]";"[]";"[]";"[]";"действует";"58701969";
"99";"Шаболовская";"Калужско-Рижская линия";"Южный административный округ";"Донской район";"[]";"[]";"[]";"[]";"действует";"58701970";
"221";"Плющиха";"Солнцевская линия";"Центральный административный округ";"район Арбат";"[]";"[]";"[]";"[]";"строится";"58701971";
"142";"Тимирязевская";"Серпуховско-Тимирязевская линия";"Северный административный округ";"Тимирязевский район";"{global_id=1058907003, value=Тимирязевская}";"[]";"{global_id=1132046986, value=Тимирязевская}";"[]";"действует";"58701972";
"90";"ВДНХ";"Калужско-Рижская линия";"Северо-Восточный административный округ";"Останкинский район";"[]";"[]";"[]";"[]";"действует";"58701973";
"31";"Тверская";"Замоскворецкая линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58701974";
"208";"Фонвизинская";"Люблинско-Дмитровская линия";"Северо-Восточный административный округ";"Бутырский район";"[]";"[]";"[]";"[]";"действует";"58701975";
"249";"Воронцовская";"Большая кольцевая линия";"Юго-Западный административный округ";"Обручевский район";"[]";"[]";"[]";"[]";"действует";"58701976";
"143";"Дмитровская";"Серпуховско-Тимирязевская линия";"Северо-Восточный административный округ";"Бутырский район";"{global_id=1058996666, value=Дмитровская}";"[]";"{global_id=1132155396, value=Дмитровская}";"[]";"действует";"58701978";
"103";"Новые Черёмушки";"Калужско-Рижская линия";"Юго-Западный административный округ";"район Черёмушки";"[]";"[]";"[]";"[]";"действует";"58701979";
"119";"Пушкинская";"Таганско-Краснопресненская линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58701981";
"32";"Маяковская";"Замоскворецкая линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58701982";
"231";"Нижегородская";"Некрасовская линия";"Юго-Восточный административный округ";"Нижегородский район";"{global_id=2616714661, value=Нижегородская}";"[]";"{global_id=1132155557, value=Нижегородская}";"[]";"действует";"58701983";
"89";"Ботанический сад";"Калужско-Рижская линия";"Северо-Восточный административный округ";"район Свиблово";"[]";"[]";"[]";"[]";"действует";"58701984";
"256";"Нижегородская";"Большая кольцевая линия";"Юго-Восточный административный округ";"Нижегородский район";"{global_id=2616714661, value=Нижегородская}";"[]";"{global_id=1132155557, value=Нижегородская}";"[]";"действует";"58701985";
"33";"Белорусская";"Замоскворецкая линия";"Центральный административный округ";"Тверской район";"{global_id=2616708142, value=Белорусская}";"{global_id=1508985008, value=Белорусский вокзал}";"{global_id=2616731767, value=Белорусская}";"[{global_id=1058611508, value=Белорусский}]";"действует";"58701986";
"20";"Красногвардейская";"Замоскворецкая линия";"Южный административный округ";"район Зябликово";"[]";"[]";"[]";"[]";"действует";"58701988";
"6";"Комсомольская";"Сокольническая линия";"Центральный административный округ";"Красносельский район";"{global_id=1059233585, value=Каланчевская}";"[]";"{global_id=1132155426, value=Ленинградский вокзал}";"[{global_id=1058613060, value=Ленинградский}, {global_id=1058611738, value=Казанский}]";"действует";"58701989";
"152";"Нагатинская";"Серпуховско-Тимирязевская линия";"Южный административный округ";"Нагорный район";"[]";"[]";"{global_id=1132155490, value=Нагатинская}";"[]";"действует";"58701990";
"137";"Алтуфьево";"Серпуховско-Тимирязевская линия";"Северо-Восточный административный округ";"район Бибирево";"[]";"[]";"[]";"[]";"действует";"58701991";
"268";"Новопеределкино";"Солнцевская линия";"Западный административный округ";"район Ново-Переделкино";"[]";"[]";"[]";"[]";"действует";"58701992";
"27";"Автозаводская";"Замоскворецкая линия";"Южный административный округ";"Даниловский район";"[]";"[]";"[]";"[]";"действует";"58701993";
"220";"Дорогомиловская";"Солнцевская линия";"Западный административный округ";"район Дорогомилово";"[]";"[]";"[]";"[]";"строится";"58701994";
"125";"Текстильщики";"Таганско-Краснопресненская линия";"Юго-Восточный административный округ";"район Текстильщики";"{global_id=1059235328, value=Текстильщики}";"[]";"{global_id=1132155413, value=Текстильщики}";"[]";"действует";"58701995";
